,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1809,Fjördens Heringsfilet in Senf Dijon Creme,0.89,100 Gramm,Dose 200 Gramm,aldi-nord,0.45
1810,Gut Bio Mehrkornbrot,1.89,100 Gramm,Folie 750 Gramm,aldi-nord,0.252
1811,Maurinus / Aldi Nord Frisch Ei Waffeln,0.55,100 Gramm,Packung 250 Gramm,aldi-nord,0.22
1812,Biscotto Vital Gebäck Sonnenblumenkerne und Korinthen,1.59,100 Gramm,Beutel 200 Gramm,aldi-nord,0.8
1813,Delikato Essig Essenz,0.69,100 ml,Flasche Kunststoff 400 ML,aldi-nord,0.173
1814,Trader Joes Jumbo Erdnüsse,1.59,100 Gramm,Beutel 400 Gramm,aldi-nord,0.398
1815,Le Coq de France Raclette Käse in Scheiben,2.49,100 Gramm,Packung 400 Gramm,aldi-nord,0.62
1816,Sommer Blütenhonig,2.99,100 Gramm,Spenderflasche 500 Gramm,aldi-nord,0.5980000000000001
1817,Gut Bio Rote Bete,0.85,100 ml,Glas 370 ML,aldi-nord,0.23
1818,Mama Mancini Pizzeria Salame 2 x 320 g,2.59,100 Gramm,Packung 640 Gramm,aldi-nord,0.4
1819,Traders Joes Erdnusskerne geröstet und gesalzen,0.59,100 Gramm,Dose 200 Gramm,aldi-nord,0.3
1820,Folia Gefrierbeutel mit Beschriftungsfeld,1.79,Preis pro Stück,Rolle 75 Stück,aldi-nord,0.02
1821,"Milsani Magermilch Joghurt mild Natur, 0,1% Fett",0.49,100 Gramm,Becher 500 Gramm,aldi-nord,0.098
1822,Chateau Sahne Schokolade Alpensahne,1.09,100 Gramm,Tafel 200 Gramm,aldi-nord,0.55
1823,Bauernglück Frisches Hähnchen-Brustfilet,3.49,100 Gramm,Kunststoffschale 550 Gramm,aldi-nord,0.635
1824,Stolzenfels Riesling trocken,3.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.532
1825,Holstensegen Kartoffel Püree,1.29,100 Gramm,Packung 510 Gramm,aldi-nord,0.25
1826,Strong Force Energy Drink,0.49,100 ml,Dose 0.5 L,aldi-nord,0.098
1827,Mama Mancini Lasagne Bolognese,2.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.29900000000000004
